seed,coherence,beta,gamma,model_matched,exact_expected_l0,mf_expected_l0,exact_negative_log_evidence,exact_count_variance,exact_entropy,exact_pair_covariance,mf_reverse_kl,mf_marginal_mse,converged_fraction,max_residual,response_identity_max_error,free_energy_identity_max_error,orthogonal_marginal_max_error,exact_brier,exact_marginal_nll,exact_support_f1,mf_brier,mf_marginal_nll,mf_support_f1
2403,0.0,32.0,-2.0,False,1.8197355046738442,1.8197355046738444,12.897347401864034,0.07730599338550945,0.25972522957409855,-3.2339517840359877e-18,2.0469737016526324e-16,1.3157342459629497e-31,1.0,4.0245584642661925e-16,3.6172709272364045e-10,8.000565893352648e-15,2.1094237467877974e-15,,,,,,
2403,0.0,32.0,0.0,False,1.6594885522353444,1.6594885522353446,7.7757753003180206,0.08236882335442897,0.2651067101911617,8.640373629502809e-18,7.719519468096792e-17,6.225132438195544e-32,1.0,2.498001805406602e-16,2.0447279980295718e-10,4.507238017498383e-15,1.6653345369377348e-15,,,,,,
2403,0.0,32.0,1.0986122886681098,False,1.57004263712886,1.5700426371288603,7.116686051034041,0.0794032663934261,0.2554610060652217,1.345601648806025e-17,1.249000902703301e-16,5.417311529740094e-32,1.0,9.71445146547012e-17,3.6512992629411656e-10,6.967132912678329e-15,1.6653345369377348e-15,,,,,,
2403,0.0,32.0,2.0,False,1.501070590544942,1.5010705905449417,7.535879642409513,0.07334602101233215,0.23868179914343174,2.1063890967565042e-17,7.697835424647081e-18,7.490593772942293e-32,1.0,7.632783294297951e-17,2.7466906526996127e-10,4.4026468738137295e-15,1.5543122344752192e-15,,,,,,
2403,0.0,32.0,4.0,False,1.369312567598157,1.369312567598157,9.748532037497739,0.058049419768926136,0.1932085050646592,-1.2763548638008837e-18,2.7664773683683253e-16,1.0240449665056535e-31,1.0,2.3852447794681098e-18,3.2899682977927114e-10,7.408126015634485e-15,1.6653345369377348e-15,,,,,,
2403,0.7,2.0,-2.0,False,4.369051070822772,4.380605564292577,8.070709234277267,0.9187962568936006,3.0188719185733954,-0.05081822149200858,0.036370245627396956,4.3462543369526435e-05,1.0,9.906336861931209e-10,7.038920557533856e-10,3.7192471324942744e-15,,,,,,,
2403,0.7,2.0,0.0,False,2.2545768044228276,2.2430738023013808,6.128569740000954,1.0271783961947933,3.3058269667844487,-0.047117934334544996,0.033790887701066384,5.49123905312403e-05,1.0,9.746908280483524e-10,7.162377357872174e-10,2.3800406090401793e-15,,,,,,,
2403,0.7,2.0,1.0986122886681098,False,1.2677690648766071,1.2558502361995407,5.602588590608367,0.7516170703806864,2.5401302727548876,-0.027856826378416973,0.020189892694121477,3.291965479232748e-05,1.0,9.776465470512363e-10,5.944462699858377e-10,1.7867651802561113e-15,,,,,,,
2403,0.7,2.0,2.0,False,0.7058338309719876,0.6972257796970192,5.510331139910139,0.4982286009511295,1.785782626395684,-0.014768482118598339,0.010837351626328186,1.600006367168426e-05,1.0,9.62099677703776e-10,3.496245515322016e-10,2.8831104170734534e-15,,,,,,,
2403,0.7,2.0,4.0,False,0.13911053918979052,0.13736412830841035,5.57799638520588,0.1251185959662925,0.5588263400135158,-0.001654920183066204,0.0012760391557575072,1.8341770830698776e-06,1.0,9.350998139874556e-10,2.417240296814782e-10,2.5653714178994202e-15,,,,,,,
2403,0.7,8.0,-2.0,False,2.4304383113841106,2.4189455660597683,9.516426223673857,0.42440610418195857,1.557167962282958,-0.041461921833028464,0.07551617994844387,0.0029797879928525357,1.0,9.966650005299726e-10,6.334266444696368e-10,3.1363800445660672e-15,,,,,,,
2403,0.7,8.0,0.0,False,1.7139072126125727,1.7035373402649145,5.014474345768221,0.295144827232038,1.1298189286789622,-0.030336893217815752,0.05312637374062586,0.002144774523727536,1.0,9.560472656600094e-10,4.461693237090003e-10,1.788499903732088e-15,,,,,,,
2403,0.7,8.0,1.0986122886681098,True,1.419544950667912,1.4113981766823347,4.297831218372038,0.24478659276803316,0.9481622298016492,-0.024993269419821038,0.04286530617952457,0.0017399556359566331,1.0,9.641677699290252e-10,4.5774761758821114e-10,1.846396299742814e-15,,0.0471751747736902,0.15525872861563805,0.8530259132385254,0.05063743369147523,0.1718079011495641,0.8530259132385254
2403,0.7,8.0,2.0,False,1.2104550720864817,1.2040625546636285,4.517065165109685,0.22151077304933392,0.8475089658802764,-0.021329809614865032,0.03637194890616818,0.0013846850477946513,1.0,9.49823910495473e-10,4.440403600369791e-10,2.336238841271765e-15,,,,,,,
2403,0.7,8.0,4.0,False,0.7967018179140015,0.791772368955816,5.862659908895266,0.19409330259782623,0.7060131053816523,-0.014793015417359459,0.025250679410409028,0.000705125283858598,1.0,9.405311477556078e-10,3.8318592743280533e-10,3.566591466608315e-15,,,,,,,
2403,0.7,32.0,-2.0,False,1.7513757949589617,1.7509086817741322,12.850861298603428,0.07356640631583071,0.27269872951321805,-0.006725791984638146,0.009164726234335192,0.0003969550335509066,1.0,7.701271842464052e-10,3.182375474253263e-10,7.299716386910404e-15,,,,,,,
2403,0.7,32.0,0.0,False,1.6082453066989082,1.6073198131984858,7.606978739469782,0.07029944527035537,0.2498654198045969,-0.005633636937428499,0.00786001247263241,0.0002678924547914445,1.0,5.423114179947675e-10,2.0447643578336283e-10,5.378862502972148e-15,,,,,,,
2403,0.7,32.0,1.0986122886681098,False,1.533905300479861,1.532946438772711,6.899549832509108,0.06399892514791344,0.22877704235694102,-0.004837721703429557,0.006783217596214922,0.00021137505833821187,1.0,4.329486769094615e-10,2.0891804952682946e-10,6.4669036446707685e-15,,,,,,,
2403,0.7,32.0,2.0,False,1.479547188991906,1.4787708186307955,7.292677041515987,0.0568060942471216,0.2077464664096855,-0.004403377023180801,0.005998734011680226,0.00018964232262188468,1.0,6.843843087731005e-10,2.1038149000673911e-10,5.917141776556889e-15,,,,,,,
2403,0.7,32.0,4.0,False,1.3753278235586994,1.3749743732890523,9.49222847490208,0.0481768433792241,0.17486372099653724,-0.0037571308412377383,0.0048964483460697105,0.00016948831375143082,1.0,9.288891322789539e-10,3.2818370243603567e-10,5.74880736538113e-15,,,,,,,
2403,0.95,2.0,-2.0,False,4.301792609064141,4.317075946637186,8.12724053224113,0.8963616973197135,3.039856058841053,-0.0733267443391856,0.07247630779157162,0.00010365555592904996,1.0,9.45096667592793e-10,7.149960623564766e-10,3.2751579226442118e-15,,,,,,,
2403,0.95,2.0,0.0,False,2.2412531590121274,2.2207128424232474,6.104269335761207,1.0031298690846788,3.2950293933111876,-0.06176990367506152,0.061438164961091175,0.0001228701304813089,1.0,9.778706178131813e-10,7.186495842859131e-10,2.067790383364354e-15,,,,,,,
2403,0.95,2.0,1.0986122886681098,False,1.275026887421134,1.2543450631549935,5.576083100425186,0.7386484804725345,2.541410672372864,-0.037541823949175115,0.03771072250435546,8.08910371619476e-05,1.0,9.918243448758801e-10,5.576259454187493e-10,1.887379141862766e-15,,,,,,,
2403,0.95,2.0,2.0,False,0.7206442718546657,0.7054895440360698,5.49437089594307,0.49406911657652464,1.799209638651051,-0.021088156964738515,0.02139474172498889,4.616418026109469e-05,1.0,9.547193591252778e-10,3.909910173405251e-10,2.557416084458808e-15,,,,,,,
2403,0.95,2.0,4.0,False,0.15065948324418532,0.14668733255169708,5.59142048720349,0.13006638294115935,0.5814747099853642,-0.0033315864186193684,0.0034885561165951783,8.939044802850695e-06,1.0,9.335242093233553e-10,2.3599266985030454e-10,1.8764693575021307e-15,,,,,,,
2403,0.95,8.0,-2.0,False,2.3964131769585464,2.3770472048955837,9.511518714140397,0.41271359744658587,1.641551190948946,-0.08125829707136045,0.1837764357993732,0.012131783813407494,1.0,9.761032537802805e-10,6.065405955268943e-10,3.164135620181696e-15,,,,,,,
2403,0.95,8.0,0.0,False,1.7023580172724784,1.6843144059111577,4.964539138664385,0.2850740029508727,1.2034631039550663,-0.06537301068110625,0.14573309032062812,0.010153377469364282,1.0,9.88395809642384e-10,5.035829531152558e-10,1.6965595595053173e-15,,,,,,,
2403,0.95,8.0,1.0986122886681098,True,1.4176967400180522,1.4002951080497403,4.24080683191392,0.23738704807872027,1.0210526001362443,-0.056911663794307774,0.12630673019203592,0.0087112063691725,1.0,9.80005581893706e-10,4.43590497667401e-10,1.5543122344752192e-15,,0.05450401266499655,0.1753377640276542,0.8269794583320618,0.05975601620251578,0.2174415353036623,0.8333333134651184
2403,0.95,8.0,2.0,False,1.2141375850069067,1.1982795750704482,4.461034810730156,0.21656655061606667,0.9191199702941845,-0.050079082883512795,0.111113044990879,0.007644960396189753,1.0,9.982131024544039e-10,3.7254377360795843e-10,3.0531133177191805e-15,,,,,,,
2403,0.95,8.0,4.0,False,0.8060579129288955,0.7933095554905594,5.820978183827847,0.1929989362429687,0.7699202815472892,-0.03667714600020498,0.08366599637789505,0.005316500027067082,1.0,9.812152201860158e-10,3.631734912801221e-10,2.7097396576206012e-15,,,,,,,
2403,0.95,32.0,-2.0,False,1.7371715909698464,1.7363041454697652,12.949845134980425,0.07339857399446874,0.35612112734310536,-0.03433273232974705,0.06341014848269327,0.005185994218131803,1.0,7.67800871492863e-10,1.977928931751194e-10,6.21781584542576e-15,,,,,,,
2403,0.95,32.0,0.0,False,1.5933458497627146,1.5915562372518826,7.676192779418105,0.0686142254715774,0.3300249640061178,-0.032930368348747865,0.060969333969213634,0.004983717398905311,1.0,9.656918546069315e-10,2.0449064663807803e-10,4.551914400963142e-15,,,,,,,
2403,0.95,32.0,1.0986122886681098,False,1.522339684843298,1.5199294138802948,6.9539971879038,0.060045898437803016,0.30232757617929584,-0.03157467179653667,0.05861938577141815,0.004761602735773292,1.0,9.65995061719127e-10,2.096041673560478e-10,3.747002708109903e-15,,,,,,,
2403,0.95,32.0,2.0,False,1.471752151883665,1.4691237416255372,7.33837735731537,0.05252257229859249,0.27864304727327194,-0.030293692638133536,0.056344337282803955,0.004511371840396457,1.0,8.924279752686726e-10,2.0595347649532414e-10,4.683753385137379e-15,,,,,,,
2403,0.95,32.0,4.0,False,1.3740525979309508,1.370777644773053,9.530005086337024,0.04748605051538064,0.25043186720736554,-0.02662605179576298,0.05025161098843842,0.0037762736164083537,1.0,7.933647072633221e-10,3.2249047876575787e-10,5.566541792568532e-15,,,,,,,
